starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	0	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	0	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	2	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	2	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	7	2	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	8	1	9	0
Wed Apr 25 15:40:14 2012	1335336014	9	0	9	0
Wed Apr 25 15:40:14 2012	1335336014	9	0	9	0
Wed Apr 25 15:40:14 2012	1335336014	9	0	9	0
Wed Apr 25 15:40:14 2012	1335336014	9	0	9	0
