starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 17:59:01 2012	1335257941	6	0	6	0
Tue Apr 24 17:59:01 2012	1335257941	6	0	6	0
Tue Apr 24 17:59:01 2012	1335257941	6	0	6	0
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	0
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	0
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	0
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	2
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	2
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	2
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	9	0	9	1
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	7	3	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	0
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	3
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	2	10	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	10	1
Tue Apr 24 17:59:01 2012	1335257941	10	0	10	2
Tue Apr 24 17:59:01 2012	1335257941	9	1	10	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	9	2	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	9	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	4
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	10	1	11	1
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	0
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	2
Tue Apr 24 17:59:01 2012	1335257941	11	0	11	3
Tue Apr 24 17:59:01 2012	1335257941	8	3	11	2
