starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 17:50:15 2012	1335257415	6	2	8	1
Tue Apr 24 17:50:15 2012	1335257415	6	2	9	1
Tue Apr 24 17:50:15 2012	1335257415	6	3	9	2
Tue Apr 24 17:50:15 2012	1335257415	6	3	9	2
Tue Apr 24 17:50:15 2012	1335257415	6	3	9	2
Tue Apr 24 17:50:15 2012	1335257415	6	3	9	2
Tue Apr 24 17:50:15 2012	1335257415	6	3	9	2
Tue Apr 24 17:50:15 2012	1335257415	6	3	9	2
Tue Apr 24 17:50:15 2012	1335257415	10	0	10	2
Tue Apr 24 17:50:15 2012	1335257415	6	4	10	4
Tue Apr 24 17:50:15 2012	1335257415	6	4	10	4
Tue Apr 24 17:50:15 2012	1335257415	6	5	10	4
Tue Apr 24 17:50:15 2012	1335257415	6	5	10	4
Tue Apr 24 17:50:15 2012	1335257415	8	2	10	2
Tue Apr 24 17:50:15 2012	1335257415	6	5	11	4
Tue Apr 24 17:50:15 2012	1335257415	6	5	11	5
Tue Apr 24 17:50:15 2012	1335257415	6	6	11	5
Tue Apr 24 17:50:15 2012	1335257415	6	6	12	5
Tue Apr 24 17:50:15 2012	1335257415	6	6	12	5
Tue Apr 24 17:50:15 2012	1335257415	6	7	12	6
Tue Apr 24 17:50:15 2012	1335257415	6	7	13	6
Tue Apr 24 17:50:15 2012	1335257415	6	7	14	7
Tue Apr 24 17:50:15 2012	1335257415	6	8	14	7
Tue Apr 24 17:50:15 2012	1335257415	6	8	14	7
Tue Apr 24 17:50:15 2012	1335257415	6	8	15	8
Tue Apr 24 17:50:15 2012	1335257415	6	9	15	8
Tue Apr 24 17:50:15 2012	1335257415	6	9	15	8
Tue Apr 24 17:50:15 2012	1335257415	6	9	16	9
Tue Apr 24 17:50:15 2012	1335257415	6	10	16	9
Tue Apr 24 17:50:15 2012	1335257415	6	10	16	9
Tue Apr 24 17:50:15 2012	1335257415	6	11	17	10
Tue Apr 24 17:50:15 2012	1335257415	6	11	17	10
Tue Apr 24 17:50:15 2012	1335257415	6	11	17	10
Tue Apr 24 17:50:15 2012	1335257415	6	12	18	11
Tue Apr 24 17:50:15 2012	1335257415	6	12	18	11
Tue Apr 24 17:50:15 2012	1335257415	6	12	18	11
Tue Apr 24 17:50:15 2012	1335257415	6	13	19	12
Tue Apr 24 17:50:15 2012	1335257415	7	13	19	12
Tue Apr 24 17:50:15 2012	1335257415	7	13	19	12
