starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 18:04:16 2012	1335258256	8	1	8	0
Tue Apr 24 18:04:16 2012	1335258256	8	1	8	0
Tue Apr 24 18:04:16 2012	1335258256	8	1	8	0
Tue Apr 24 18:04:16 2012	1335258256	8	1	8	0
Tue Apr 24 18:04:16 2012	1335258256	8	1	8	0
Tue Apr 24 18:04:16 2012	1335258256	9	0	9	1
Tue Apr 24 18:04:16 2012	1335258256	9	0	9	0
Tue Apr 24 18:04:16 2012	1335258256	9	0	9	1
Tue Apr 24 18:04:16 2012	1335258256	9	0	9	0
Tue Apr 24 18:04:16 2012	1335258256	9	0	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	0	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	0	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	0	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	9	1	10	0
Tue Apr 24 18:04:16 2012	1335258256	6	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	6	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	5	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	5	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	5	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	5	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	5	5	11	4
Tue Apr 24 18:04:16 2012	1335258256	5	6	11	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	11	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	11	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	11	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	11	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	12	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	12	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	12	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	12	5
Tue Apr 24 18:04:16 2012	1335258256	5	6	12	5
Tue Apr 24 18:04:16 2012	1335258256	5	7	12	7
Tue Apr 24 18:04:16 2012	1335258256	5	7	12	7
Tue Apr 24 18:04:16 2012	1335258256	5	7	12	7
Tue Apr 24 18:04:16 2012	1335258256	5	8	12	7
Tue Apr 24 18:04:16 2012	1335258256	5	8	13	7
Tue Apr 24 18:04:16 2012	1335258256	5	8	13	6
Tue Apr 24 18:04:16 2012	1335258256	5	8	13	6
Tue Apr 24 18:04:16 2012	1335258256	5	8	13	6
Tue Apr 24 18:04:16 2012	1335258256	5	9	13	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	13	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	13	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	13	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	13	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	14	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	14	8
Tue Apr 24 18:04:16 2012	1335258256	5	9	14	8
Tue Apr 24 18:04:16 2012	1335258256	4	10	14	9
Tue Apr 24 18:04:16 2012	1335258256	4	10	14	9
Tue Apr 24 18:04:16 2012	1335258256	5	10	14	9
Tue Apr 24 18:04:16 2012	1335258256	5	10	14	9
Tue Apr 24 18:04:16 2012	1335258256	5	10	14	9
Tue Apr 24 18:04:16 2012	1335258256	4	10	14	9
Tue Apr 24 18:04:16 2012	1335258256	4	10	15	9
Tue Apr 24 18:04:16 2012	1335258256	4	10	15	9
Tue Apr 24 18:04:16 2012	1335258256	4	10	15	9
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	4	11	15	10
Tue Apr 24 18:04:16 2012	1335258256	16	0	16	0
Tue Apr 24 18:04:16 2012	1335258256	4	12	16	11
Tue Apr 24 18:04:16 2012	1335258256	4	12	16	12
Tue Apr 24 18:04:16 2012	1335258256	4	12	16	11
