starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 18:03:40 2012	1335258220	8	0	8	0
Tue Apr 24 18:03:40 2012	1335258220	8	1	8	0
Tue Apr 24 18:03:40 2012	1335258220	8	1	8	0
Tue Apr 24 18:03:40 2012	1335258220	8	1	8	0
Tue Apr 24 18:03:40 2012	1335258220	8	1	8	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	1
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	1
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	1
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	1
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	1	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	9	0	9	0
Tue Apr 24 18:03:40 2012	1335258220	5	4	9	4
Tue Apr 24 18:03:40 2012	1335258220	5	4	9	4
Tue Apr 24 18:03:40 2012	1335258220	11	0	11	0
Tue Apr 24 18:03:40 2012	1335258220	11	0	11	1
Tue Apr 24 18:03:40 2012	1335258220	11	0	11	0
Tue Apr 24 18:03:40 2012	1335258220	11	0	11	0
Tue Apr 24 18:03:40 2012	1335258220	10	3	12	2
Tue Apr 24 18:03:40 2012	1335258220	12	0	12	0
Tue Apr 24 18:03:40 2012	1335258220	12	1	12	0
Tue Apr 24 18:03:40 2012	1335258220	10	3	12	2
Tue Apr 24 18:03:40 2012	1335258220	12	1	13	0
Tue Apr 24 18:03:40 2012	1335258220	10	4	13	3
Tue Apr 24 18:03:40 2012	1335258220	13	0	13	0
Tue Apr 24 18:03:40 2012	1335258220	13	0	13	0
Tue Apr 24 18:03:40 2012	1335258220	14	1	14	0
Tue Apr 24 18:03:40 2012	1335258220	14	1	14	0
Tue Apr 24 18:03:40 2012	1335258220	14	1	15	0
Tue Apr 24 18:03:40 2012	1335258220	14	1	15	1
Tue Apr 24 18:03:40 2012	1335258220	15	1	15	0
Tue Apr 24 18:03:40 2012	1335258220	10	6	16	5
Tue Apr 24 18:03:40 2012	1335258220	16	1	16	0
Tue Apr 24 18:03:40 2012	1335258220	16	1	16	0
Tue Apr 24 18:03:40 2012	1335258220	16	1	16	0
Tue Apr 24 18:03:40 2012	1335258220	15	1	16	1
Tue Apr 24 18:03:40 2012	1335258220	17	1	17	0
Tue Apr 24 18:03:40 2012	1335258220	10	8	17	7
Tue Apr 24 18:03:40 2012	1335258220	17	0	18	0
Tue Apr 24 18:03:40 2012	1335258220	8	9	18	9
Tue Apr 24 18:03:40 2012	1335258220	17	0	18	0
Tue Apr 24 18:03:40 2012	1335258220	17	1	18	0
Tue Apr 24 18:03:40 2012	1335258220	17	1	18	0
Tue Apr 24 18:03:40 2012	1335258220	10	9	18	8
Tue Apr 24 18:03:40 2012	1335258220	18	0	19	0
Tue Apr 24 18:03:40 2012	1335258220	18	1	19	0
Tue Apr 24 18:03:40 2012	1335258220	10	9	19	8
Tue Apr 24 18:03:40 2012	1335258220	10	10	19	9
Tue Apr 24 18:03:40 2012	1335258220	5	14	19	13
Tue Apr 24 18:03:40 2012	1335258220	5	14	19	13
Tue Apr 24 18:03:40 2012	1335258220	16	4	20	3
Tue Apr 24 18:03:40 2012	1335258220	10	10	20	10
Tue Apr 24 18:03:40 2012	1335258220	5	15	20	14
Tue Apr 24 18:03:40 2012	1335258220	5	15	20	14
Tue Apr 24 18:03:40 2012	1335258220	5	15	20	14
Tue Apr 24 18:03:40 2012	1335258220	5	15	20	14
Tue Apr 24 18:03:40 2012	1335258220	5	15	20	14
Tue Apr 24 18:03:40 2012	1335258220	8	12	20	11
Tue Apr 24 18:03:40 2012	1335258220	19	1	20	1
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	5	16	21	15
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	5	16	21	15
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	5	16	21	15
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	5	16	21	15
Tue Apr 24 18:03:40 2012	1335258220	5	16	21	15
Tue Apr 24 18:03:40 2012	1335258220	5	16	21	15
Tue Apr 24 18:03:40 2012	1335258220	20	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	20	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	19	2	21	2
Tue Apr 24 18:03:40 2012	1335258220	20	1	21	1
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	21	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	5	17	22	16
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	5	17	22	16
Tue Apr 24 18:03:40 2012	1335258220	5	17	22	16
Tue Apr 24 18:03:40 2012	1335258220	5	17	22	16
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	5	17	22	16
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	21	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	0	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	22	0
Tue Apr 24 18:03:40 2012	1335258220	5	18	22	17
Tue Apr 24 18:03:40 2012	1335258220	5	18	23	17
Tue Apr 24 18:03:40 2012	1335258220	5	18	23	17
Tue Apr 24 18:03:40 2012	1335258220	5	18	23	17
Tue Apr 24 18:03:40 2012	1335258220	5	18	23	17
Tue Apr 24 18:03:40 2012	1335258220	5	18	23	17
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	22	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	5	19	23	18
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	5	19	23	18
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	23	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	5	19	24	18
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	5	19	24	18
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	5	19	24	18
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	5	19	24	18
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	23	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	24	0
Tue Apr 24 18:03:40 2012	1335258220	5	20	24	19
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	5	20	24	19
Tue Apr 24 18:03:40 2012	1335258220	4	20	24	19
Tue Apr 24 18:03:40 2012	1335258220	24	0	24	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	4	20	25	19
Tue Apr 24 18:03:40 2012	1335258220	4	20	25	19
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	4	20	25	19
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	4	20	25	19
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	24	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	25	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	25	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	25	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	25	1	25	0
Tue Apr 24 18:03:40 2012	1335258220	25	1	25	0
