starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 18:04:51 2012	1335258291	4	2	6	1
Tue Apr 24 18:04:51 2012	1335258291	4	2	6	1
Tue Apr 24 18:04:51 2012	1335258291	4	2	6	2
Tue Apr 24 18:04:51 2012	1335258291	4	2	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	3	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	3	7	2
Tue Apr 24 18:04:51 2012	1335258291	7	0	7	0
Tue Apr 24 18:04:51 2012	1335258291	4	3	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	3	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	4	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	3	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	3	7	2
Tue Apr 24 18:04:51 2012	1335258291	4	4	8	3
Tue Apr 24 18:04:51 2012	1335258291	4	3	8	3
Tue Apr 24 18:04:51 2012	1335258291	4	4	8	4
Tue Apr 24 18:04:51 2012	1335258291	7	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	4	4	8	3
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	7	1	8	0
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	4	4	8	4
Tue Apr 24 18:04:51 2012	1335258291	4	4	8	4
Tue Apr 24 18:04:51 2012	1335258291	7	1	8	0
Tue Apr 24 18:04:51 2012	1335258291	7	1	8	0
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	7	1	8	0
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	1
Tue Apr 24 18:04:51 2012	1335258291	8	1	8	0
Tue Apr 24 18:04:51 2012	1335258291	8	0	8	0
Tue Apr 24 18:04:51 2012	1335258291	7	1	8	0
Tue Apr 24 18:04:51 2012	1335258291	4	4	8	4
Tue Apr 24 18:04:51 2012	1335258291	8	1	9	0
Tue Apr 24 18:04:51 2012	1335258291	9	0	9	1
Tue Apr 24 18:04:51 2012	1335258291	4	5	9	4
Tue Apr 24 18:04:51 2012	1335258291	4	5	9	4
Tue Apr 24 18:04:51 2012	1335258291	9	0	9	1
Tue Apr 24 18:04:51 2012	1335258291	8	1	9	0
Tue Apr 24 18:04:51 2012	1335258291	4	5	9	4
Tue Apr 24 18:04:51 2012	1335258291	8	1	9	0
Tue Apr 24 18:04:51 2012	1335258291	9	1	9	0
Tue Apr 24 18:04:51 2012	1335258291	8	1	9	0
Tue Apr 24 18:04:51 2012	1335258291	4	5	9	5
Tue Apr 24 18:04:51 2012	1335258291	4	5	9	5
Tue Apr 24 18:04:51 2012	1335258291	4	5	9	5
Tue Apr 24 18:04:51 2012	1335258291	4	6	9	4
Tue Apr 24 18:04:51 2012	1335258291	4	5	10	5
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	0
Tue Apr 24 18:04:51 2012	1335258291	4	5	10	5
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	1
Tue Apr 24 18:04:51 2012	1335258291	9	0	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	1
Tue Apr 24 18:04:51 2012	1335258291	4	6	10	5
Tue Apr 24 18:04:51 2012	1335258291	9	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	9	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	9	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	4	6	10	6
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	0
Tue Apr 24 18:04:51 2012	1335258291	9	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	1
Tue Apr 24 18:04:51 2012	1335258291	10	0	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	10	0
Tue Apr 24 18:04:51 2012	1335258291	8	2	11	1
Tue Apr 24 18:04:51 2012	1335258291	11	0	11	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	4	7	11	6
Tue Apr 24 18:04:51 2012	1335258291	11	0	11	1
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	11	0	11	1
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	11	0	11	1
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	4	7	11	7
Tue Apr 24 18:04:51 2012	1335258291	11	0	11	1
Tue Apr 24 18:04:51 2012	1335258291	9	2	11	2
Tue Apr 24 18:04:51 2012	1335258291	10	1	11	1
Tue Apr 24 18:04:51 2012	1335258291	4	7	11	7
Tue Apr 24 18:04:51 2012	1335258291	11	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	11	0	11	1
Tue Apr 24 18:04:51 2012	1335258291	4	8	11	7
Tue Apr 24 18:04:51 2012	1335258291	11	1	11	0
Tue Apr 24 18:04:51 2012	1335258291	11	1	12	0
Tue Apr 24 18:04:51 2012	1335258291	11	1	12	0
